Creator1,Creator2,Creator3,Creator4,Title,Creation Date,Destruction Date,Display Date,Extant,Location,City,Location Display,Geocoordinates,Link to Luna,Filename,Image Source
William Walker,,,,The Wall of Love,1971,,creation date: 1971,Yes,3831 S. Michigan Ave.,Chicago,"South Side Community Arts Center, 3381 S. Michgan Ave.",,,,
Don Pellet,,,,The Wall of Thoughts and Ideas,1971,,creation date: 1971,,2512 N. Greenview Ave.,Chicago,"Wrightwood Park, 2512 N. Greenview Ave.",,,,
Sachio Yamashito,,,,The Wave,1971,,creation date: 1971,,227 W. North Ave,Chicago,227 W. North Ave.,,,,
John Weber,Martinez,Students,,Unidos Para Triunfar,1971,,creation date: 1971,,2100 W. Division St.,Chicago,2100 W. Division St.,,,,
Don McIlvaine,,,,Untitled,1971,,creation date: 1971,,16th St. & Hamlin Ave.,Chicago,16th St. & Hamlin Ave.,"41.858942, -87.720062",,,
Anderson,Weiss,,,Untitled ,1971,,creation date: 1971,,4511 W. Madison St.,Chicago,4511 W. Madison St.,,,,
Ricardo Alonzo,,,,When the Masses...,1971,,creation date: 1971,,Damen Ave. and Grand Ave.,Chicago,Damen Ave. and Grand Ave.,"41.890820, -87.676902",,,
Thomas,Moody,James,,Untitled,1972,,creation date: 1972,,Hoyne Ave. and Madison St.,Chicago,"St. Leonard's Center, Hoyne Ave. and Madison St.","41.881312, -87.679076",,,
Eugene Eda,,,,72 Mural Doors,1972,,creation date: 1972,Yes,1900 W. Van Buren St.,Chicago,"Malcolm X College, 1900 W. Van Buren St.",,,,
Zeno,,,,Alewives and Mercury Fish,1972,,creation date: 1972,Yes,55th St.  at Lake Park Ave South Side,Chicago,"Illinois Central Underpass, 55th St. and S. Lake Park Ave. (south side)","41.795124, -87.587512",,,
William Walker,Dave Garlovsky,,,All of Mankind ,1972,,creation date: 1972,,617 West Evergreen Ave.,Chicago,"St. Marcello Church, 617 W. Evergreen Ave.",,http://luna.lib.uchicago.edu/luna/servlet/s/lmn8h6,7148486.jpg,
Ray Patlan,,,,El Exito/The Exit,1972,,creation date: 1972,,16th St. and Halsted Ave.,Chicago,16th St. and Halsted Ave.,"41.859952, -87.646735",,,
William Walker,Dave Garlovsky,Students,,Hall of Friendship,1972,,creation date: 1972,,250 E. Superior St.,Chicago,"Wesley Memorial Hospital, Radiation Therapy Center, 250 E. Superior St.",,,,
Ray Patlan,,,,Hay Cultura en Nuestra Comunidad,1972,,creation date: 1972,,1831 S. Racine St.,Chicago,"Casa Aztlan, 1831 W. 18th St.",,,,
Marcos Raya,,,,Homenaje a Diego Rivera,1972,,creation date: 1972,,1147 W. 18th St. ,Chicago,1147 W. 18th St. ,,,,
Ray Patlan,,,,La Causa/The Cause,1972,,creation date: 1972,,16th St. & Halsted Ave.,Chicago,16th St. and Halsted Ave.,"41.859952, -87.646735",,,
Richard Alonzo,Team,,,Last of the Two Butterflies,1972,,creation date: 1972,,905 N. Western Ave.,Chicago,905 N. Western Ave.,,,,
Puerto Rican Art Association,,,,Mural of Heroes,1972,,creation date: 1972,,2150 W. North Ave.,Chicago,2150 W. North Ave.,,,,
John Weber,Martinez,Students,,"People of Lakeview Together (or, People of Lakeview Unite)",1972,,creation date: 1972,,3059 N. Sheffield Ave.,Chicago,3059 N. Sheffield Ave.,,,,
Jipi Yanigisawa,,,,Racial Harmony,1972,,creation date: 1972,,247 W. 23rd Pl.,Chicago,"Haines Public School, 247 W. 23rd Pl.",,,,
Dalton Brown,,,,Save the Children,1972,,creation date: 1972,,3947 S. Michigan Ave.,Chicago,"Donnelly Youth Center, 3947 S. Michigan Ave.",,,,
Mitchell Caton,,,,The Philosophy of the Spiritual,1972,1973,creation date: 1972; destroyed: 1973,No,75th St. and Vernon Ave.,Chicago,75th St. and Vernon Ave. (south side of 75th St.),"41.758440, -87.613892",,,
Santi Isrowuthakul,Steve Stahl,Yanigisawa,,The Wall of Generations,1972,,creation date: 1972,,914 W. Sheridan Rd.,Chicago,"Christian Fellowship Church, 914 W. Sheridan Rd.",,,,
Santi Isrowuthakul,Steve Stahl,Yanigisawa,,To Respect the Rights (...),1972,,creation date: 1972,,3935 N. Sheridan Rd.,Chicago,"El Tropico Restaurant, 3935 N. Sheridan Rd.",,,,
Caryl Yasko,,,,Under City Stone,1972,,creation date: 1972,Yes,55th St. at Lake Park Ave. (north side),Chicago,Illinois Central Underpass at 55th St. and S. Lake Park Ave (north side),"41.795246, -87.587588",,,
Morris Barasani,,,,Untitled,1972,,creation date: 1972,,900 W. Taylor St.,Chicago,"UIC Physical Science Building Cafeteria, 900 W. Taylor St.",,,,
James Hasse,Galvan,,,Untitled,1972,,creation date: 1972,,1080 W. Roosevelt Rd.,Chicago,"Holy Family School, 1080 W. Roosevelt Rd.",,,,
Karen Coos,,,,Untitled,1972,,creation date: 1972,,1448 E. 53rd St.,Chicago,"United Church, 1448 E. 53rd St.",,,,
Mary Burton,Students,,,Untitled,1972,,creation date: 1972,,Seeley Ave. and Greenshaw St.,Chicago,"St. Mary's Center For Learning, Seeley Ave. and Grenshaw St.","41.867949, -87.677079",,,
Unknown (Neighborhood Youth) ,,,,"Untitled 84th + Burley (""Untitled Wall"")",1972,,creation date: 1972,,8401 S. Burley Ave.,Chicago,8401 S. Burley Ave.,,,,
Louis Boyd,,,,Wall of Black Saints (Holy Angels Wall),1972,,creation date: 1972,,545 E. Oakwood Blvd.,Chicago,"Holy Angels School, 545 E. Oakwood Blvd.",,,,
James,Larry Moody,Cary Thomas,,Wall of Time,1972,,creation date: 1972,,2110 W. Madison St.,Chicago,2110 W. Madison St.,,,,
Kathy Judge,Caryl Yasko,Williams,Children,Walls of Hope,1972,,creation date: 1972,,5650 S. Woodlawn Ave.,Chicago,"First Unitarian Church, 5650 S. Woodlawn Ave.",,,,
Mark Rogovin,,,,National Headquarters Young Lords Organization,1973,,creation date: before 1973,,Armitage and Halsted,Chicago,Armitage Ave. and Halsted St.,"41.918182, -87.648523",http://luna.lib.uchicago.edu/luna/servlet/s/qi6r6k,7148477.jpg,"Mark Rogovin, original photography; For educational use only."
Latin American Students,,,,Untitled,1973,,creation date: 1973,,750 S. Halsted St.,Chicago,"El Cuadro Latino Americano, University of Illinois at Chicago, 750 S. Halsted St.",,,,
Bruner and Allen,,,,Untitled,1973,,creation date: 1973,,80th St. and Aberdeen St.,Chicago,"St. Matthew's Lutheran Church, 80th St. and Aberdeen St.","41.748728, -87.651261",,,
Jack Jaspar,,,,Billboard,1973,,creation date: 1973,,Addison St. & Clark St.,Chicago,Clark St. and Addison St.,"41.947218, -87.656519",,,
Santi Irowuthakul,Steve Stahl,Yanigisawa,,Block Buster,1973,,creation date: 1973,,5249 N. Kenmore Ave.,Chicago,"Epworth United Methodist Church, 5249 N. Kenmore Ave.",,,,
"Ricardo Alonzo,",Students,,,Chicago Gallery II,1973,,creation date: 1973,,800 W. Hubbard St.,Chicago,800 W. Hubbard St.,,,,
Bruner,Esther Charbit,,,City Sounds,1973,,creation date: 1973,,3249 N. Ashland Ave.,Chicago,3249 N. Ashland Ave.,,,,
William Walker,Dave Garlovsky,,,Confrontation,1973,,creation date: 1973,,3923 S. Michigan Ave.,Chicago,3923 S. Michigan Ave.,,,,
John Weber,Martinez,Students,,Defend the Bill of Rights,1973,,creation date: 1973,,2111 W. Fullerton Ave.,Chicago,"Express Car Wash, 2111 W. Fullerton Ave.",,,,
Mario Lopez,Team,,,Domestication or Liberation,1973,,creation date: 1973,,8453 S. Mackinaw Ave.,Chicago,"South Side Neighborhood House, 8453 S. Mackinaw Ave.",,,,
John Weber,Turtle Onli,Martinez,,For a New World,1973,,creation date: 1973,,925 W. Diversey Ave.,Chicago,"Holy Covenant Church, 925 W. Diversey Ave.",,,,
Isrowathakul,Jipi Yanigisawa,Lee,Steve Stahl,Friendship,1973,,creation date: 1973,,247 W. 23rd Pl.,Chicago,"Haines Public School, 247 W. 23rd Pl.",,,,
Ray Patlan,,,,La Destruction del Mondo Blanco,1973,,creation date: 1973,,1831 S. Racine Ave.,Chicago,"Casa Aztlan, stairwell, 1831 S. Racine Ave.",,,,
Esther Charbit,Barry Brunner,,,Lakeview Together,1973,,creation date: 1973,,3410 N. Sheffield Ave.,Chicago,"Lakeview Citizens Council Office, 3410 N. Sheffield Ave.",,,,
Richard Alonzo,Turtle Onli,,,Man + Machine,1973,,creation date: 1973,,645 N. Wood St.,Chicago,"Emerson House Gym, 645 N. Wood St.",,,,
William Walker,,,,Marcello Mural Cyclus,1973,,creation date: 1973,,617 W. Evergreen Ave.,Chicago,"St. Marcello Church, 617 W. Evergreen Ave.",,,,
Raya and Weiss,,,,Untitled,1973,,creation date: 1973,,1831 S. Racine Ave.,Chicago,"Benito Juarez Clinic, 1831 S. Racine Ave.",,,,
Eugene Eda,,,,DuSable Mural,1973,,creation date: 1973,,740 E. 56th Pl.,Chicago,"DuSable Museum, interior, 740 E. 56th Pl.",,,,
Santi Isrowhuthaku,Steve Stahl,Yanagisawa,,Nikkeijin no Rekishi,1973,,creation date: 1973,,4427 N. Clark St.,Chicago,4427 N. Clark St.,,,,
